Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Cluster,Cluster_Selected,PCA1,PCA2
56.0,88.3,1.71,180.0,157.0,60.0,1.69,1313.0,12.6,3.5,4.0,3.0,30.2,True,False,False,True,2,2,3.596740544333427,0.6753291539564787
46.0,74.9,1.53,179.0,151.0,66.0,1.3,883.0,33.9,2.1,4.0,2.0,32.0,False,True,False,False,1,1,-0.4181911185579297,-0.9625410549614762
32.0,68.1,1.66,167.0,122.0,54.0,1.11,677.0,33.4,2.3,4.0,2.0,24.71,False,False,False,False,1,1,-0.8772260264704265,-0.6849237910277637
25.0,53.2,1.7,190.0,164.0,56.0,0.59,532.0,28.8,2.1,3.0,1.0,18.41,True,False,True,False,1,1,-2.6237659874357186,-0.5454084842148056
38.0,46.1,1.79,188.0,158.0,68.0,0.64,556.0,29.2,2.8,3.0,1.0,14.39,True,False,True,False,1,1,-2.265078713830922,-0.2836750993461583
56.0,58.0,1.68,168.0,156.0,74.0,1.59,1116.0,15.5,2.7,5.0,3.0,20.55,False,True,False,False,2,2,2.7523245774615765,-1.6694631680585614
36.0,70.3,1.72,174.0,169.0,73.0,1.49,1385.0,21.3,2.3,3.0,2.0,23.76,True,False,False,False,2,2,1.151813584355942,-0.7457518588454157
40.0,69.7,1.51,189.0,141.0,64.0,1.27,895.0,30.6,1.9,3.0,2.0,30.57,False,False,False,False,1,1,-0.8165839083223754,-0.9465757878380682
28.0,121.7,1.94,185.0,127.0,52.0,1.03,719.0,28.9,2.6,4.0,2.0,32.34,True,False,True,False,0,0,0.08803384218340976,2.6492413777624857
28.0,101.8,1.84,169.0,136.0,64.0,1.08,808.0,29.7,2.7,3.0,1.0,30.07,True,False,False,False,0,0,-0.9570292515985899,1.8625155815652488
53.0,51.7,1.7,175.0,152.0,72.0,1.15,865.0,23.6,3.5,3.0,2.0,17.89,True,True,False,False,1,1,0.12431900768410714,-0.41262977463729333
41.0,94.5,2.0,179.0,136.0,69.0,1.18,794.0,27.6,3.7,3.0,1.0,23.62,True,True,False,False,0,0,-0.24003587451090155,2.5677484033353553
20.0,117.7,1.81,196.0,161.0,54.0,1.35,1195.0,26.4,3.3,3.0,2.0,35.93,True,False,False,True,0,0,1.2619086579646732,2.6101321879188295
39.0,42.5,1.75,181.0,131.0,52.0,1.13,740.0,26.2,2.1,2.0,1.0,13.88,False,False,True,False,1,1,-2.0086481603711808,-0.94144320187132
19.0,64.0,1.53,166.0,167.0,58.0,1.33,1111.0,29.8,2.3,3.0,2.0,27.34,False,True,False,False,1,1,-0.14129632680818235,-1.3197106641916059
41.0,43.8,1.77,182.0,165.0,58.0,1.19,884.0,31.9,1.6,3.0,1.0,13.98,False,False,False,False,1,1,-1.8112604275560165,-1.7825640761396273
47.0,66.8,1.75,199.0,146.0,56.0,1.13,742.0,32.8,2.5,3.0,2.0,21.81,False,False,True,False,1,1,-0.9987452020807679,-0.10523603098611242
55.0,75.2,1.67,188.0,167.0,51.0,1.37,1030.0,25.2,2.2,2.0,1.0,26.96,False,True,False,False,1,1,-0.8682542212573058,0.1590055832717462
19.0,89.0,1.77,175.0,127.0,72.0,1.5,1048.0,28.9,3.7,4.0,2.0,28.41,True,False,True,False,0,0,1.3623400982998641,1.1211978891843393
38.0,71.9,1.77,197.0,142.0,72.0,1.12,875.0,25.7,3.1,2.0,1.0,22.95,True,False,False,False,0,0,-1.0684829857186813,1.0817112083509572
50.0,71.0,1.68,187.0,161.0,70.0,1.17,848.0,33.1,2.5,2.0,1.0,25.16,False,False,False,True,1,1,-1.8431887564969527,0.13095094401247692
29.0,120.9,1.78,197.0,168.0,65.0,0.78,721.0,28.1,3.4,2.0,1.0,38.16,True,False,False,True,0,0,-1.2965309438372008,3.657052284233388
39.0,64.3,1.69,190.0,148.0,58.0,1.25,925.0,26.9,1.9,4.0,2.0,22.51,False,True,False,False,1,1,-0.06130952357251214,-1.0811288125158396
42.0,63.7,1.71,173.0,169.0,62.0,1.42,1080.0,26.1,1.7999999999999998,3.0,2.0,21.78,False,False,False,True,1,1,-0.008796061799124635,-1.3115994234988568
44.0,65.2,1.8,192.0,139.0,68.0,0.73,502.0,27.2,2.7,2.0,1.0,20.12,True,True,False,False,1,1,-2.4688398014776634,0.8902578876423857
59.0,53.9,1.75,168.0,135.0,69.0,1.48,989.0,21.6,2.8,4.0,2.0,17.6,True,False,True,False,2,2,0.9915277596881091,-1.0580911470589118
45.0,84.9,1.86,186.0,136.0,66.0,1.64,1104.0,14.2,3.5,5.0,3.0,24.54,True,True,False,False,2,2,3.5530005623600913,0.7490925027306666
33.0,78.0,1.68,183.0,135.0,55.0,1.29,871.0,32.3,1.7999999999999998,3.0,2.0,27.64,False,True,False,False,1,1,-0.8388660084490477,-0.3805744476825531
32.0,108.2,1.8,172.0,138.0,53.0,1.27,964.0,28.4,3.5,3.0,1.0,33.4,True,True,False,False,0,0,0.03433066792285923,2.5616631659961553
20.0,65.4,1.52,185.0,127.0,50.0,1.03,654.0,28.0,2.2,4.0,2.0,28.31,False,False,False,True,1,1,-0.7640198753383391,-0.7886114074322277
54.0,50.2,1.61,188.0,157.0,67.0,1.48,1046.0,28.2,2.7,2.0,1.0,19.37,False,True,False,False,1,1,-0.9453915344781515,-0.987725041443588
24.0,58.9,1.51,187.0,157.0,68.0,1.04,816.0,31.7,2.5,2.0,1.0,25.83,False,False,False,False,1,1,-2.126743502469908,-0.5933599245589195
38.0,81.4,1.71,187.0,148.0,58.0,1.52,1237.0,10.199999999999998,3.5,5.0,3.0,27.84,True,True,False,False,2,2,3.808492803359457,0.4172954555165952
56.0,59.3,1.56,182.0,155.0,57.0,1.26,879.0,33.4,2.6,4.0,2.0,24.37,False,False,False,False,1,1,-0.32555637309352536,-1.3040444720679563
35.0,96.9,1.71,188.0,145.0,72.0,1.34,1069.0,24.2,2.9,3.0,2.0,33.14,True,False,True,False,0,0,0.7420147015483354,1.2764365549650503
21.0,62.6,1.81,164.0,150.0,62.0,1.3,1072.0,27.6,3.5,4.0,2.0,19.11,True,False,True,False,0,0,0.9964305389047763,-0.15566687254379472
42.0,45.5,1.6,166.0,163.0,64.0,1.31,1057.0,21.7,2.6,3.0,2.0,17.77,True,False,True,False,1,1,0.25762866374079624,-1.7530988073085965
31.0,48.8,1.51,195.0,131.0,60.0,1.48,969.0,28.2,2.0,2.0,1.0,21.4,False,False,False,False,1,1,-1.468718950837049,-1.4772423125690055
26.0,44.3,1.6,186.0,136.0,61.0,1.08,734.0,34.7,2.0,3.0,1.0,17.3,False,False,False,False,1,1,-2.3102860357160337,-1.6671808803739079
43.0,113.2,1.83,161.0,134.0,63.0,1.45,962.0,29.9,2.9,4.0,2.0,33.8,True,False,False,True,0,0,0.9426663488986956,1.683294837200122
19.0,60.5,1.59,184.0,128.0,53.0,1.14,730.0,30.1,2.2,2.0,1.0,23.93,False,False,False,False,1,1,-2.1432079226424467,-0.3919579118096722
37.0,124.2,1.76,168.0,158.0,50.0,1.5,1304.0,29.3,2.8,2.0,1.0,40.1,True,True,False,False,0,0,0.169816422063636,2.6011870554904406
45.0,52.4,1.85,186.0,161.0,73.0,1.2,956.0,25.2,2.5,3.0,1.0,15.31,True,False,True,False,1,1,-0.7382332841755275,-0.5030776452359635
24.0,54.7,1.74,160.0,167.0,53.0,0.84,772.0,22.9,3.6,3.0,1.0,18.07,True,False,False,True,0,0,-0.8006198722229536,0.2751768205504347
25.0,88.1,1.95,182.0,131.0,68.0,1.41,1016.0,22.7,3.0,2.0,1.0,23.17,True,False,False,False,0,0,-0.1174972355651018,1.8865948049601216
52.0,59.7,1.71,169.0,151.0,58.0,1.23,836.0,34.3,2.0,3.0,1.0,20.42,False,False,True,False,1,1,-1.7428650060730762,-1.0106231030001585
31.0,79.7,1.54,184.0,144.0,59.0,1.03,742.0,26.7,2.3,4.0,2.0,33.61,False,False,False,False,1,1,-0.35226512919712083,-0.09991361536947535
34.0,51.0,1.62,162.0,158.0,53.0,1.42,1122.0,30.8,2.4,3.0,2.0,19.43,False,False,False,True,1,1,-0.12423658778855731,-1.8005534713909543
53.0,84.2,1.76,165.0,137.0,69.0,1.67,1133.0,12.8,3.5,5.0,3.0,27.18,True,False,False,False,2,2,3.664434533574565,0.3419172553617844
57.0,122.1,1.89,165.0,134.0,58.0,1.13,750.0,27.4,3.6,3.0,1.0,34.18,True,False,False,False,0,0,-0.2529195614218427,3.474646666853424
21.0,96.7,1.72,161.0,151.0,62.0,1.26,1046.0,25.0,2.8,3.0,1.0,32.69,True,False,True,False,0,0,-0.061400459018287445,1.3066554920350875
